date,close
2018-12-06,37.67
2018-12-04,36.88
2018-12-03,40.03
2018-11-30,38.56
2018-11-29,37.91
2018-11-28,38.71
2018-11-27,37.0
2018-11-26,36.57
2018-11-23,36.4
2018-11-21,36.38
2018-11-20,36.12
2018-11-19,36.83
2018-11-16,39.44
2018-11-15,39.91
2018-11-14,38.03
2018-11-13,37.85
2018-11-12,37.44
2018-11-09,39.11
2018-11-08,40.44
2018-11-07,40.93
2018-11-06,39.8
2018-11-05,39.92
2018-11-02,40.32
2018-11-01,40.12
2018-10-31,37.72
2018-10-30,36.01
2018-10-29,34.66
2018-10-26,35.4
2018-10-25,36.78
2018-10-24,35.43
2018-10-23,38.68
2018-10-22,39.76
2018-10-19,40.45
2018-10-18,41.3
2018-10-17,42.35
2018-10-16,43.21
2018-10-15,42.34
2018-10-12,42.47
2018-10-11,41.97
2018-10-10,41.61
2018-10-09,42.27
2018-10-08,43.07
2018-10-05,43.58
2018-10-04,44.16
2018-10-03,45.15
2018-10-02,45.76
2018-10-01,45.15
2018-09-28,45.23
2018-09-27,44.99
2018-09-26,44.35
2018-09-25,44.64
2018-09-24,45.16
2018-09-21,44.74
2018-09-20,46.06
2018-09-19,45.06
2018-09-18,45.33
2018-09-17,43.58
2018-09-14,44.3
2018-09-13,43.62
2018-09-12,41.74
2018-09-11,43.6
2018-09-10,44.9
2018-09-07,44.86
2018-09-06,44.65
2018-09-05,49.54
2018-09-04,51.93
2018-08-31,52.52
2018-08-30,52.76
2018-08-29,51.83
2018-08-28,52.34
2018-08-27,52.07
2018-08-24,50.7
2018-08-23,49.7
2018-08-22,50.24
2018-08-21,49.94
2018-08-20,48.07
2018-08-17,47.11
2018-08-16,47.1
2018-08-15,47.49
2018-08-14,50.62
2018-08-13,51.34
2018-08-10,51.37
2018-08-09,52.26
2018-08-08,53.39
2018-08-07,53.04
2018-08-06,52.67
2018-08-03,52.81
2018-08-02,53.4
2018-08-01,52.29
2018-07-31,52.79
2018-07-30,53.01
2018-07-27,53.96
2018-07-26,53.76
2018-07-25,53.39
2018-07-24,53.17
2018-07-23,54.29
2018-07-20,55.02
2018-07-19,56.22
2018-07-18,57.45
2018-07-17,56.96
2018-07-16,56.15
2018-07-13,56.35
2018-07-12,55.45
2018-07-11,54.18
2018-07-10,55.74
2018-07-09,54.31
2018-07-06,53.23
2018-07-05,52.84
2018-07-03,51.48
2018-07-02,54.48
2018-06-29,52.44
2018-06-28,53.14
2018-06-27,52.26
2018-06-26,54.59
2018-06-25,53.16
2018-06-22,57.1
2018-06-21,59.44
2018-06-20,58.95
2018-06-19,59.25
2018-06-18,58.45
2018-06-15,58.23
2018-06-14,59.18
2018-06-13,60.05
2018-06-12,60.55
2018-06-11,61.39
2018-06-08,61.39
2018-06-07,59.63
2018-06-06,59.42
2018-06-05,59.41
2018-06-04,59.1
2018-06-01,58.74
2018-05-31,57.59
2018-05-30,62.57
2018-05-29,62.62
2018-05-25,61.35
2018-05-24,61.49
2018-05-23,59.97
2018-05-22,59.03
2018-05-21,55.48
2018-05-18,53.39
2018-05-17,54.7
2018-05-16,56.5
2018-05-15,54.01
2018-05-14,53.0
2018-05-11,51.82
2018-05-10,52.66
2018-05-09,51.01
2018-05-08,48.57
2018-05-07,48.48
2018-05-04,47.58
2018-05-03,46.62
2018-05-02,45.89
2018-05-01,46.79
2018-04-30,45.98
2018-04-27,47.52
2018-04-26,50.14
2018-04-25,47.6
2018-04-24,47.11
2018-04-23,49.02
2018-04-20,50.62
2018-04-19,51.42
2018-04-18,54.01
2018-04-17,52.26
2018-04-16,51.65
2018-04-13,52.23
2018-04-12,52.59
2018-04-11,50.48
2018-04-10,50.48
2018-04-09,47.96
2018-04-06,48.46
2018-04-05,49.84
2018-04-04,53.39
2018-04-03,51.55
2018-04-02,50.06
2018-03-29,52.14
2018-03-28,51.49
2018-03-27,52.4
2018-03-26,55.56
2018-03-23,54.21
2018-03-22,58.92
2018-03-21,61.07
2018-03-20,61.15
2018-03-19,60.14
2018-03-16,60.58
2018-03-15,58.84
2018-03-14,59.78
2018-03-13,59.43
2018-03-12,59.37
2018-03-09,54.59
2018-03-08,55.22
2018-03-07,53.97
2018-03-06,53.74
2018-03-05,52.03
2018-03-02,49.11
2018-03-01,47.62
2018-02-28,48.81
2018-02-27,48.58
2018-02-26,47.98
2018-02-23,46.53
